address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans,shortest distance to whole foods,shortest distance to parks
5227 West St,Oakland,CA,94608,37.837588,-122.26946,8,3210,1700000,0.604155119,1.707949001,0.026843347
5217 West St,Oakland,CA,94608,37.837454,-122.269531,7,2825,1425000,0.595988392,1.755718886,0.026759683
8 Moraga Ct,Orinda,CA,94563,37.863681,-122.169466,5,3450,1995000,1.070839801,1.76991779,0.408457051
834 Santa Fe Ave,Albany,CA,94706,37.891577,-122.28866,1,580,495000,0.948403806,1.777847852,0.170536386
2311 Bourbon Ct,South San Francisco,CA,94080,37.641689,-122.45567,4,1860,1398000,1.080017061,1.830303737,0.246963605
"280 Spear Street #4H Plan, MIRA",San Francisco,CA,94105,37.791282,-122.39306,2,975,1105000,0.245731873,0.784433544,0.316014336
1450 Crystal Dr,Hillsborough,CA,94010,37.5358,-122.357986,4,3070,3588000,0.471275034,1.661466647,0.371414168
135 Stillings Ave,San Francisco,CA,94131,37.734342,-122.442888,2,1100,1095000,0.504013839,0.946845381,0.374208883
1333 Shelter Creek Ln,San Bruno,CA,94066,37.61845,-122.425545,0,490,435000,0.906340271,1.384719091,0.327888448
2203 Portsmouth Way,San Mateo,CA,94403,37.550079,-122.293744,4,1510,1435000,0.803910912,1.936235436,0.329761352
1021 83rd Ave,Oakland,CA,94621,37.752133,-122.184586,4,1503,629888,0.688814552,1.939943212,0.146660489
590 6th St APT 311,San Francisco,CA,94103,37.774732,-122.4015,2,1373,1250000,0.387866501,0.46133986,0.393309576
3601 Branson Dr,San Mateo,CA,94403,37.540926,-122.285282,4,1740,1498000,0.718539594,0.715817482,0.241502794
88 Guy Pl APT 401,San Francisco,CA,94105,37.786221,-122.394843,2,1449,1300000,0.415854811,0.436514741,0.319834144
121 Palm Ave,Corte Madera,CA,94925,37.927495,-122.529867,2,1283,1459000,0.477939594,1.468939727,0.336582965
601 Van Ness Ave APT 710,San Francisco,CA,94102,37.781386,-122.421406,1,672,539000,0.438737387,0.614526351,0.336582965
198 States St,San Francisco,CA,94114,37.763968,-122.439555,7,4044,2488000,0.660541737,0.744172728,0.107050199
41 43 Cuvier St,San Francisco,CA,94112,37.73429,-122.428472,4,1500,1798000,0.304431037,0.82491181,0.218473075
120 King Ave,Piedmont,CA,94610,37.817188,-122.223613,5,4964,4695000,0.727924808,0.954160047,0.121098324
